"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","degree","109464"," ","2","112951","","","","","","",""
"iat","","1256","j","4","121037","personality disorder","disorders","disorders","treatment","disorders","true",""
"iat","","950","f","6","122241","SHARE counselors","treatment","treatment","treatment","disorders","true",""
"iat","","1310","f","8","123806","therapy","treatment","treatment","treatment","disorders","true",""
"iat","","668","j","10","124730","post traumatic stress disorder","disorders","disorders","treatment","disorders","true",""
"iat","","674","j","12","125658","depression","disorders","disorders","treatment","disorders","true",""
"iat","","446","j","14","126358","schizophrenia","disorders","disorders","treatment","disorders","true",""
"iat","","844","f","16","127456","","","disorders","treatment","disorders","false",""
"iat","","2630","j","18","130341","bipolar disorder","disorders","disorders","treatment","disorders","true",""
"iat","","859","j","20","131455","post traumatic stress disorder","disorders","disorders","treatment","disorders","true",""
"iat","","766","f","22","132475","peer counseling","treatment","treatment","treatment","disorders","true",""
"iat","","723","j","24","133453","obsessive compulsive disorder","disorders","disorders","treatment","disorders","true",""
"iat","","686","j","26","134393","bipolar disorder","disorders","disorders","treatment","disorders","true",""
"iat","","725","f","28","135373","support group","treatment","treatment","treatment","disorders","true",""
"iat","","565","f","30","136193","counseling","treatment","treatment","treatment","disorders","true",""
"iat","","548","f","32","136996","SHARE counselors","treatment","treatment","treatment","disorders","true",""
"iat","","724","f","34","137975","medication","treatment","treatment","treatment","disorders","true",""
"iat","","608","j","36","138838","anxiety","disorders","disorders","treatment","disorders","true",""
"iat","","402","j","38","139494","depression","disorders","disorders","treatment","disorders","true",""
"iat","","691","j","40","140440","body dysmorphia","disorders","disorders","treatment","disorders","true",""
"iat","","623","j","42","141318","peer counseling","treatment","treatment","treatment","disorders","false",""
"iat","","953","f","44","142526","CAMHS","treatment","treatment","treatment","disorders","true",""
"iat","","1753","j","46","144534","obsessive compulsive disorder","disorders","disorders","treatment","disorders","true",""
"iat","","647","f","48","145436","support group","treatment","treatment","treatment","disorders","true",""
"iat","","802","j","50","146492","tutors","treatment","treatment","treatment","disorders","false",""
"iat","","929","j","52","147675","substance abuse disorder","disorders","disorders","treatment","disorders","true",""
"iat","","676","f","54","148605","tutors","treatment","treatment","treatment","disorders","true",""
"iat","","857","j","56","149716","CAMHS","treatment","treatment","treatment","disorders","false",""
"iat","","1222","j","58","151193","psychiatry","treatment","treatment","treatment","disorders","false",""
"iat","","1104","j","60","152551","eating disorder","disorders","disorders","treatment","disorders","true",""
"iat","","746","f","62","153551","medication","treatment","treatment","treatment","disorders","true",""
"iat","","834","f","64","154641","resident deans","treatment","treatment","treatment","disorders","true",""
"iat","","632","j","66","155528","therapy","treatment","treatment","treatment","disorders","false",""
"iat","","2643","f","68","158425","eating disorder","disorders","disorders","treatment","disorders","false",""
"iat","","968","j","70","159648","schizophrenia","disorders","disorders","treatment","disorders","true",""
"iat","","526","j","72","160429","body dysmorphia","disorders","disorders","treatment","disorders","true",""
"iat","","885","f","74","161568","psychiatry","treatment","treatment","treatment","disorders","true",""
"iat","","1506","f","77","168245","rational","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","740","j","79","169240","crazy","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","914","j","81","170407","psychotic","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","695","f","83","171357","reasonable","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","1489","j","85","173101","unstable","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","758","j","87","174113","difficult","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","567","j","89","174935","difficult","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","686","j","91","175876","unpredictable","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","583","f","93","176712","realistic","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","708","j","95","177674","fragile","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","646","j","97","178574","unstable","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","661","f","99","179490","feeling","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","1247","j","101","180992","useless","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","671","j","103","181917","feeling","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","1388","f","105","183560","human","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","839","j","107","184654","insane","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","559","j","109","185467","insane","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","577","f","111","186299","normal","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","628","j","113","187181","fragile","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","666","f","115","188102","capable","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","490","f","117","188846","reasonable","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","512","f","119","189613","rational","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","570","j","121","190438","psychotic","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","3473","j","123","194166","weak","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","731","j","125","195152","weird","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","555","j","127","195962","sane","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","862","j","129","197078","challenging","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","780","j","131","198113","sane","humanizing","humanizing","humanizing","stigmatizing","false",""
"iat","","1095","f","133","199463","capable","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","3280","f","135","202996","human","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","577","j","137","203827","weird","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","1585","j","139","205668","dangerous","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","572","j","141","206495","weak","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","657","j","143","207406","crazy","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","554","f","145","208215","normal","humanizing","humanizing","humanizing","stigmatizing","true",""
"iat","","766","j","147","209235","useless","stigmatizing","stigmatizing","humanizing","stigmatizing","true",""
"iat","","7299","j","150","220868","fragile","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1517","f","152","222640","sane","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1500","f","154","224393","realistic","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","2235","f","156","226882","obsessive compulsive disorder","disorders","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1314","j","158","228451","SHARE counselors","treatment","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","2763","f","160","231469","human","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","3710","j","162","235433","tutors","treatment","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1153","f","164","236841","post traumatic stress disorder","disorders","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","929","j","166","238024","peer counseling","treatment","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1159","f","168","239437","rational","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","2265","f","170","241956","substance abuse disorder","disorders","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1366","f","172","243577","capable","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1156","j","174","244988","therapy","treatment","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","829","f","176","246071","normal","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1579","j","178","247905","weak","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1411","j","180","249571","challenging","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","false",""
"iat","","808","j","182","250633","useless","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","768","j","184","251655","difficult","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","false",""
"iat","","1096","f","186","253007","depression","disorders","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1184","f","188","254443","insane","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","false",""
"iat","","2022","j","190","256719","CAMHS","treatment","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1487","j","192","258461","psychotic","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1861","j","194","260577","dangerous","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","937","j","196","261769","unstable","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","762","f","198","262786","reasonable","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1216","j","200","264257","psychiatry","treatment","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","994","f","202","265505","eating disorder","disorders","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1420","f","204","267180","schizophrenia","disorders","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1089","j","206","268524","resident deans","treatment","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","836","j","208","269614","medication","treatment","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","876","j","210","270743","unpredictable","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","2511","j","212","273506","anxiety","disorders","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","false",""
"iat","","2499","j","214","276260","weird","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","2920","j","216","279435","crazy","stigmatizing","treatment or stigmatizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","1382","f","218","281071","feeling","humanizing","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","2055","f","220","283380","personality disorder","disorders","disorders or humanizing","disorders or humanizing","treatment or stigmatizing","true",""
"iat","","2214","j","223","297539","rational","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","759","f","225","298552","challenging","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","false",""
"iat","","824","j","227","299630","SHARE counselors","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1026","j","229","300910","realistic","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","963","f","231","302128","useless","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","871","j","233","303255","CAMHS","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1191","f","235","304700","unstable","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","3619","f","237","308574","personality disorder","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","602","f","239","309431","bipolar disorder","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","665","f","241","310351","weak","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","631","f","243","311238","difficult","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","false",""
"iat","","623","f","245","312116","eating disorder","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","554","f","247","312924","psychiatry","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","false",""
"iat","","635","f","249","313814","schizophrenia","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1519","f","251","315587","weird","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","469","f","253","316310","crazy","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","793","f","255","317357","anxiety","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","732","j","257","318344","sane","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","700","j","259","319297","therapy","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","800","j","261","320352","medication","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","584","j","263","321190","support group","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","624","f","265","322069","dangerous","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","705","f","267","323029","psychotic","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","578","j","269","323862","human","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","827","f","271","324944","fragile","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1902","f","273","327100","unpredictable","stigmatizing","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","676","j","275","328031","capable","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","602","j","277","328888","resident deans","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","675","f","279","329818","obsessive compulsive disorder","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","655","j","281","330728","counseling","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","755","j","283","331737","peer counseling","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","609","j","285","332600","tutors","treatment","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","649","f","287","333503","body dysmorphia","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","1189","j","289","334946","feeling","humanizing","treatment or humanizing","disorders or stigmatizing","treatment or humanizing","true",""
"iat","","725","f","291","335926","post traumatic stress disorder","disorders","disorders or stigmatizing","disorders or stigmatizing","treatment or humanizing","true",""
