"trialType","whichPrime","rt","response","trial_index","time_elapsed","word","expectedCategory","expectedCategoryAsDisplayed","leftCategory","rightCategory","correct","question_order"
"prime","degree","115762"," ","2","126594","","","","","","",""
"iat","","1778","f","4","142646","eating disorder","disorders","disorders","disorders","treatment","true",""
"iat","","1586","j","6","144514","CAMHS","treatment","treatment","disorders","treatment","true",""
"iat","","1961","j","8","146753","SHARE counselors","treatment","treatment","disorders","treatment","true",""
"iat","","1625","f","10","148655","substance abuse disorder","disorders","disorders","disorders","treatment","true",""
"iat","","1967","f","12","150903","depression","disorders","disorders","disorders","treatment","true",""
"iat","","1666","j","14","152849","peer counseling","treatment","treatment","disorders","treatment","true",""
"iat","","2601","j","16","155730","support group","treatment","treatment","disorders","treatment","true",""
"iat","","963","j","18","156970","counseling","treatment","treatment","disorders","treatment","true",""
"iat","","1020","j","20","158268","support group","treatment","treatment","disorders","treatment","true",""
"iat","","2287","j","22","160837","medication","treatment","treatment","disorders","treatment","true",""
"iat","","1023","f","24","162138","anxiety","disorders","disorders","disorders","treatment","true",""
"iat","","1945","j","26","164363","tutors","treatment","treatment","disorders","treatment","true",""
"iat","","1169","f","28","165810","obsessive compulsive disorder","disorders","disorders","disorders","treatment","true",""
"iat","","1694","j","30","167782","SHARE counselors","treatment","treatment","disorders","treatment","true",""
"iat","","772","j","32","168833","peer counseling","treatment","treatment","disorders","treatment","true",""
"iat","","790","f","34","169904","depression","disorders","disorders","disorders","treatment","true",""
"iat","","1000","j","36","171181","resident deans","treatment","treatment","disorders","treatment","true",""
"iat","","1089","f","38","172551","post traumatic stress disorder","disorders","disorders","disorders","treatment","true",""
"iat","","1045","f","40","173877","body dysmorphia","disorders","disorders","disorders","treatment","true",""
"iat","","746","f","42","174900","schizophrenia","disorders","disorders","disorders","treatment","true",""
"iat","","777","j","44","175954","medication","treatment","treatment","disorders","treatment","true",""
"iat","","3865","j","46","180097","psychiatry","treatment","treatment","disorders","treatment","true",""
"iat","","791","j","48","181164","therapy","treatment","treatment","disorders","treatment","true",""
"iat","","781","f","50","182226","personality disorder","disorders","disorders","disorders","treatment","true",""
"iat","","2055","f","52","184564","anxiety","disorders","disorders","disorders","treatment","true",""
"iat","","669","j","54","185514","counseling","treatment","treatment","disorders","treatment","true",""
"iat","","2072","j","56","187864","tutors","treatment","treatment","disorders","treatment","true",""
"iat","","929","f","58","189071","post traumatic stress disorder","disorders","disorders","disorders","treatment","true",""
"iat","","758","f","60","190106","body dysmorphia","disorders","disorders","disorders","treatment","true",""
"iat","","1177","f","62","191567","substance abuse disorder","disorders","disorders","disorders","treatment","true",""
"iat","","1113","f","64","192959","psychiatry","treatment","treatment","disorders","treatment","false",""
"iat","","810","f","66","194048","bipolar disorder","disorders","disorders","disorders","treatment","true",""
